COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,й╩дёи╥,дс╢q,дHдf▒Kл╫,з▀╛iдё,з▀еодё,з▀ж╤дё,ж╤д╞л№╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-062,е├жwи╜,94.62,2.56,54998.3,42.92,20.84,22.07,105.89,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-063,┬∙е╔и╜,91.89,2.76,44107.97,44.94,23.75,21.19,89.24,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-064,╝s╖sи╜,96.61,2.89,49646.98,47.17,23,24.17,105.09,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-065,▓`еCи╜,92.66,2.51,26254.87,50.36,30.85,19.51,63.25,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-066,н╗еCи╜,91.64,2.62,43448.91,49.96,27.63,22.34,80.86,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-067,жшжwи╜,92.03,2.66,40714.67,46.15,21.04,25.11,119.37,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-068,кFеCи╜,92.68,2.86,39591.16,47.01,22.28,24.73,110.98,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-069,к°жwи╜,92.43,2.87,45875.79,47.64,29.38,18.26,62.16,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-070,║╓еCи╜,85.42,2.29,21008.39,46.68,25.06,21.62,86.26,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-071,║╓╕Sи╜,89.1,2.52,49596.64,43.86,20.67,23.19,112.18,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-072,е┴▒┌и╜,94.16,2.83,54790.42,59.6,37.03,22.57,60.94,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-073,░ъоїи╜,91.77,2.59,34597.38,45.78,20.76,25.02,120.52,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-074,║╓╝wи╜,98.7,2.61,41164.04,43.73,17.23,26.5,153.78,109Y09M
65000,╖sе_ел,65000010,кO╛Ї░╧,65000010-075,┤║мPи╜,92.95,2.28,41103.38,38.93,15.14,23.79,157.14,109Y09M
