"","city","township","village","fullname","Nb","Nr","Nt"
"285","新北市","中和區","南山里","新北市中和區南山里",1,1,1
"286","新北市","中和區","連城里","新北市中和區連城里",2,2,2
"287","新北市","中和區","頂南里","新北市中和區頂南里",1,1,1
"288","新北市","中和區","景南里","新北市中和區景南里",0,0,0
"289","新北市","中和區","華南里","新北市中和區華南里",2,2.1111,2
"290","新北市","中和區","華新里","新北市中和區華新里",7,8.9986,7
"291","新北市","中和區","漳和里","新北市中和區漳和里",0,0,0
"292","新北市","中和區","興南里","新北市中和區興南里",2,2,2
"293","新北市","平溪區","平湖里","新北市平溪區平湖里",19.4,23.4928,21
"294","新北市","平溪區","南山里","新北市平溪區南山里",9.5625,9.5211,10
"295","新北市","平溪區","望古里","新北市平溪區望古里",9.3333,13.7978,10
"296","新北市","平溪區","嶺腳里","新北市平溪區嶺腳里",33.697,34.8229,31
"297","新北市","永和區","民族里","新北市永和區民族里",2,2,2
"298","新北市","永和區","永元里","新北市永和區永元里",0,0,0
"299","新北市","永和區","桂林里","新北市永和區桂林里",3,3.0003,3
"300","新北市","石碇區","中民里","新北市石碇區中民里",71,29.3634,24
"301","新北市","石碇區","永定里","新北市石碇區永定里",18,24.2802,18
"302","新北市","石碇區","光明里","新北市石碇區光明里",18,22.1952,18
"303","新北市","石碇區","潭邊里","新北市石碇區潭邊里",259,29.5386,25
"304","新北市","汐止區","秀山里","新北市汐止區秀山里",10,12.7585,10
"305","新北市","汐止區","厚德里","新北市汐止區厚德里",11,15.4544,11
"306","新北市","汐止區","復興里","新北市汐止區復興里",19.3333,22.8644,16
"307","新北市","汐止區","鄉長里","新北市汐止區鄉長里",23,28.482,23
"308","新北市","汐止區","樟樹里","新北市汐止區樟樹里",16,15.27,16
"309","新北市","汐止區","橋東里","新北市汐止區橋東里",15.5,13.9064,8
"310","新北市","汐止區","環河里","新北市汐止區環河里",17,7.1242,7
"311","新北市","汐止區","禮門里","新北市汐止區禮門里",6,4.569,5
